month,year,month_num,quarter,is_winter,is_spring,is_summer,is_fall,holiday_season,summer_tourism_season,school_year_month,month_sin,month_cos
2014-01,2014,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2014-02,2014,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2014-03,2014,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2014-04,2014,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2014-05,2014,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2014-06,2014,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
2014-07,2014,7,3,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388
2014-08,2014,8,3,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004
2014-09,2014,9,3,0,0,0,1,0,0,1,-1.0,-1.8369701987210297e-16
2014-10,2014,10,4,0,0,0,1,0,0,1,-0.8660254037844386,0.5000000000000001
2014-11,2014,11,4,0,0,0,1,1,0,1,-0.5000000000000004,0.8660254037844384
2014-12,2014,12,4,1,0,0,0,1,0,1,-2.4492935982947064e-16,1.0
2015-01,2015,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2015-02,2015,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2015-03,2015,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2015-04,2015,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2015-05,2015,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2015-06,2015,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
2015-07,2015,7,3,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388
2015-08,2015,8,3,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004
2015-09,2015,9,3,0,0,0,1,0,0,1,-1.0,-1.8369701987210297e-16
2015-10,2015,10,4,0,0,0,1,0,0,1,-0.8660254037844386,0.5000000000000001
2015-11,2015,11,4,0,0,0,1,1,0,1,-0.5000000000000004,0.8660254037844384
2015-12,2015,12,4,1,0,0,0,1,0,1,-2.4492935982947064e-16,1.0
2016-01,2016,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2016-02,2016,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2016-03,2016,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2016-04,2016,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2016-05,2016,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2016-06,2016,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
2016-07,2016,7,3,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388
2016-08,2016,8,3,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004
2016-09,2016,9,3,0,0,0,1,0,0,1,-1.0,-1.8369701987210297e-16
2016-10,2016,10,4,0,0,0,1,0,0,1,-0.8660254037844386,0.5000000000000001
2016-11,2016,11,4,0,0,0,1,1,0,1,-0.5000000000000004,0.8660254037844384
2016-12,2016,12,4,1,0,0,0,1,0,1,-2.4492935982947064e-16,1.0
2017-01,2017,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2017-02,2017,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2017-03,2017,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2017-04,2017,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2017-05,2017,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2017-06,2017,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
2017-07,2017,7,3,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388
2017-08,2017,8,3,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004
2017-09,2017,9,3,0,0,0,1,0,0,1,-1.0,-1.8369701987210297e-16
2017-10,2017,10,4,0,0,0,1,0,0,1,-0.8660254037844386,0.5000000000000001
2017-11,2017,11,4,0,0,0,1,1,0,1,-0.5000000000000004,0.8660254037844384
2017-12,2017,12,4,1,0,0,0,1,0,1,-2.4492935982947064e-16,1.0
2018-01,2018,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2018-02,2018,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2018-03,2018,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2018-04,2018,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2018-05,2018,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2018-06,2018,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
2018-07,2018,7,3,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388
2018-08,2018,8,3,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004
2018-09,2018,9,3,0,0,0,1,0,0,1,-1.0,-1.8369701987210297e-16
2018-10,2018,10,4,0,0,0,1,0,0,1,-0.8660254037844386,0.5000000000000001
2018-11,2018,11,4,0,0,0,1,1,0,1,-0.5000000000000004,0.8660254037844384
2018-12,2018,12,4,1,0,0,0,1,0,1,-2.4492935982947064e-16,1.0
2019-01,2019,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2019-02,2019,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2019-03,2019,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2019-04,2019,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2019-05,2019,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2019-06,2019,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
2019-07,2019,7,3,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388
2019-08,2019,8,3,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004
2019-09,2019,9,3,0,0,0,1,0,0,1,-1.0,-1.8369701987210297e-16
2019-10,2019,10,4,0,0,0,1,0,0,1,-0.8660254037844386,0.5000000000000001
2019-11,2019,11,4,0,0,0,1,1,0,1,-0.5000000000000004,0.8660254037844384
2019-12,2019,12,4,1,0,0,0,1,0,1,-2.4492935982947064e-16,1.0
2020-01,2020,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2020-02,2020,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2020-03,2020,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2020-04,2020,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2020-05,2020,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2020-06,2020,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
2020-07,2020,7,3,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388
2020-08,2020,8,3,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004
2020-09,2020,9,3,0,0,0,1,0,0,1,-1.0,-1.8369701987210297e-16
2020-10,2020,10,4,0,0,0,1,0,0,1,-0.8660254037844386,0.5000000000000001
2020-11,2020,11,4,0,0,0,1,1,0,1,-0.5000000000000004,0.8660254037844384
2020-12,2020,12,4,1,0,0,0,1,0,1,-2.4492935982947064e-16,1.0
2021-01,2021,1,1,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
2021-02,2021,2,1,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
2021-03,2021,3,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17
2021-04,2021,4,2,0,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
2021-05,2021,5,2,0,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
2021-06,2021,6,2,0,0,1,0,0,1,0,1.2246467991473532e-16,-1.0
