month,trends_avila_adobe,trends_family_activities_los_angeles,trends_free_museums_los_angeles,trends_getty_museum,trends_griffith_observatory,trends_historic_attractions_los_angeles,trends_historic_house_museum,trends_historical_sites_los_angeles,trends_la_brea_tar_pits,trends_life_in_the_1840s,trends_living_history_museum,trends_los_angeles_attractions,trends_los_angeles_history,trends_los_angeles_museums,trends_olvera_street,trends_things_to_do_in_downtown_la,trends_things_to_do_in_la,trends_things_to_do_in_los_angeles
2014-01,0.0,64.0,79.0,78.0,55.0,0.0,0.0,0.0,58.0,100.0,0.0,70.0,91.0,81.0,59.0,38.0,42.0,52.0
2014-02,0.0,67.0,31.0,64.0,47.0,0.0,100.0,0.0,56.0,0.0,0.0,61.0,82.0,63.0,65.0,34.0,39.0,54.0
2014-03,0.0,84.0,28.0,74.0,52.0,0.0,0.0,0.0,65.0,0.0,59.0,72.0,94.0,66.0,69.0,31.0,47.0,58.0
2014-04,0.0,0.0,26.0,76.0,78.0,0.0,0.0,0.0,60.0,0.0,0.0,73.0,97.0,61.0,80.0,32.0,43.0,50.0
2014-05,0.0,0.0,19.0,69.0,53.0,0.0,0.0,0.0,59.0,0.0,0.0,64.0,89.0,50.0,89.0,44.0,39.0,55.0
2014-06,0.0,79.0,37.0,68.0,60.0,0.0,0.0,0.0,67.0,0.0,0.0,77.0,94.0,68.0,68.0,36.0,51.0,67.0
2014-07,0.0,82.0,32.0,79.0,70.0,0.0,0.0,0.0,76.0,0.0,0.0,100.0,93.0,79.0,73.0,58.0,63.0,84.0
2014-08,0.0,100.0,17.0,71.0,65.0,0.0,0.0,0.0,62.0,0.0,0.0,84.0,87.0,62.0,68.0,53.0,57.0,69.0
2014-09,0.0,0.0,23.0,51.0,41.0,0.0,0.0,0.0,44.0,0.0,0.0,62.0,72.0,51.0,59.0,33.0,40.0,50.0
2014-10,0.0,0.0,13.0,45.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,51.0,65.0,40.0,80.0,33.0,35.0,43.0
2014-11,0.0,66.0,10.0,51.0,40.0,0.0,0.0,0.0,45.0,0.0,0.0,51.0,62.0,48.0,71.0,27.0,35.0,46.0
2014-12,0.0,89.0,20.0,59.0,45.0,0.0,0.0,0.0,44.0,0.0,72.0,70.0,66.0,43.0,62.0,37.0,40.0,56.0
2015-01,76.0,81.0,61.0,60.0,49.0,0.0,0.0,0.0,50.0,0.0,0.0,56.0,72.0,83.0,47.0,49.0,43.0,52.0
2015-02,0.0,0.0,17.0,50.0,42.0,0.0,0.0,0.0,48.0,0.0,0.0,51.0,72.0,54.0,45.0,31.0,38.0,44.0
2015-03,0.0,63.0,24.0,56.0,45.0,0.0,0.0,0.0,45.0,0.0,76.0,63.0,69.0,53.0,58.0,42.0,43.0,48.0
