month,trends_los_angeles_history,trends_olvera_street,trends_los_angeles_museums,trends_things_to_do_in_los_angeles,trends_things_to_do_in_la,trends_la_brea_tar_pits,trends_los_angeles_attractions,trends_griffith_observatory,trends_getty_museum,trends_family_activities_los_angeles,trends_free_museums_los_angeles,trends_avila_adobe,trends_oldest_building_in_los_angeles,trends_historic_sites_california,trends_living_history_museum,trends_things_to_do_in_la_when_it_rains,trends_historic_house_los_angeles,trends_historic_house_museum,trends_rainy_day_activities_los_angeles,trends_oldest_house_in_los_angeles,trends_life_in_the_1840s
2014-01,91.0,59.0,81.0,52.0,42.0,58.0,70.0,55.0,78.0,64.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02,82.0,65.0,63.0,54.0,39.0,56.0,61.0,47.0,64.0,67.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2014-03,94.0,69.0,66.0,58.0,47.0,65.0,72.0,52.0,74.0,84.0,28.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04,97.0,80.0,61.0,50.0,43.0,60.0,73.0,78.0,76.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05,89.0,89.0,50.0,55.0,39.0,59.0,64.0,53.0,69.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06,94.0,68.0,68.0,67.0,51.0,67.0,77.0,60.0,68.0,79.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,93.0,73.0,79.0,84.0,63.0,76.0,100.0,70.0,79.0,82.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08,87.0,68.0,62.0,69.0,57.0,62.0,84.0,65.0,71.0,100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09,72.0,59.0,51.0,50.0,40.0,44.0,62.0,41.0,51.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10,65.0,80.0,40.0,43.0,35.0,42.0,51.0,42.0,45.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,62.0,71.0,48.0,46.0,35.0,45.0,51.0,40.0,51.0,66.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,66.0,62.0,43.0,56.0,40.0,44.0,70.0,45.0,59.0,89.0,20.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,72.0,47.0,83.0,52.0,43.0,50.0,56.0,49.0,60.0,81.0,61.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,72.0,45.0,54.0,44.0,38.0,48.0,51.0,42.0,50.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03,69.0,58.0,53.0,48.0,43.0,45.0,63.0,45.0,56.0,63.0,24.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,74.0,64.0,47.0,49.0,41.0,51.0,57.0,45.0,57.0,69.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05,83.0,68.0,55.0,52.0,45.0,47.0,63.0,46.0,58.0,83.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,77.0,64.0,70.0,57.0,56.0,59.0,69.0,52.0,52.0,73.0,46.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,82.0,59.0,76.0,74.0,73.0,76.0,92.0,73.0,65.0,88.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,87.0,64.0,57.0,67.0,68.0,64.0,77.0,68.0,65.0,87.0,26.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
2015-09,83.0,58.0,51.0,46.0,53.0,50.0,58.0,65.0,49.0,69.0,17.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10,77.0,92.0,40.0,49.0,45.0,46.0,58.0,40.0,48.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11,69.0,69.0,52.0,45.0,45.0,55.0,51.0,48.0,50.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
