month,value,term,lane,theme,geo,source,notes
2014-01,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-02,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-03,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-04,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-05,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-06,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-07,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-08,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-09,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-10,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-11,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-12,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-01,76.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-02,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-03,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-04,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-05,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-06,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-07,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-08,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-09,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-10,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-11,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2015-12,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-01,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-02,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-03,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-04,59.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-05,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-06,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-07,61.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-08,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-09,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-10,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-11,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2016-12,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2017-01,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2017-02,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2017-03,51.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2017-04,56.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2017-05,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
