month,avg_temp_F,min_temp_F,max_temp_F,total_precip_in,avg_wind_mph
2014-01,61.11,50.77,73.49,0.02,3.07
2014-02,59.58,52.16,68.81,3.41,4.67
2014-03,61.89,54.77,70.59,0.58,5.45
2014-04,63.13,55.24,72.19,0.2,6.45
2014-05,68.93,61.22,78.07,0.0,6.61
2014-06,67.87,62.27,75.75,0.0,6.38
2014-07,72.63,66.94,80.95,0.07,6.42
2014-08,72.43,66.22,80.96,0.03,6.2
2014-09,74.16,67.48,83.14,0.01,5.65
2014-10,70.32,62.59,80.19,0.29,4.41
2014-11,64.73,55.78,75.04,0.61,4.16
2014-12,58.47,51.23,66.26,3.72,4.17
2015-01,59.88,50.93,70.73,1.18,3.06
2015-02,61.71,53.47,71.53,0.42,4.37
2015-03,65.89,56.94,76.41,0.65,4.98
2015-04,63.79,55.77,72.81,0.18,6.3
2015-05,62.26,56.97,69.09,0.37,6.75
2015-06,68.56,62.68,76.83,0.02,6.39
2015-07,71.62,66.35,79.37,0.33,6.57
2015-08,74.68,68.55,83.21,0.0,6.03
2015-09,76.51,69.88,85.12,1.45,5.22
2015-10,74.51,67.08,83.57,0.24,5.2
2015-11,62.33,51.46,73.95,0.07,4.76
2015-12,56.2,47.04,66.23,0.88,4.86
2016-01,56.45,48.98,64.58,3.33,4.19
2016-02,62.94,51.8,75.5,0.66,3.96
2016-03,60.79,53.53,69.28,1.64,6.35
2016-04,64.05,56.41,72.9,0.29,6.41
2016-05,62.4,57.76,69.47,0.31,6.5
2016-06,68.8,62.29,77.52,0.0,6.51
2016-07,72.6,66.26,81.56,0.0,6.86
2016-08,71.75,65.5,80.8,0.0,6.61
2016-09,71.56,64.47,80.62,0.0,6.07
2016-10,67.85,60.39,77.3,0.3,5.1
2016-11,63.79,54.3,75.12,1.11,4.19
2016-12,57.1,49.51,65.61,2.84,4.82
2017-01,55.19,47.9,63.07,6.6,5.38
2017-02,56.85,51.16,63.38,3.76,5.76
2017-03,61.57,53.04,72.09,0.14,5.87
2017-04,64.06,56.07,73.85,0.23,7.21
2017-05,63.49,57.25,71.52,0.13,7.01
2017-06,67.84,61.53,76.43,0.0,6.63
2017-07,72.72,66.53,81.79,0.0,6.67
2017-08,72.77,67.28,81.25,0.0,6.62
2017-09,72.04,65.22,80.79,0.07,6.14
2017-10,71.03,62.25,82.16,0.04,4.78
2017-11,64.81,56.83,75.0,0.06,4.24
2017-12,60.32,49.09,73.53,0.03,3.68
2018-01,61.09,51.93,72.02,1.85,4.02
2018-02,57.8,48.85,67.97,0.14,5.26
2018-03,58.55,51.75,66.28,2.84,6.04
2018-04,61.99,55.01,71.21,0.03,6.88
2018-05,62.68,57.53,69.74,0.06,6.79
2018-06,67.07,61.55,75.16,0.0,6.86
2018-07,75.39,69.2,84.44,0.0,7.01
2018-08,74.9,68.95,83.4,0.0,6.46
2018-09,70.03,64.2,78.76,0.0,5.85
2018-10,67.88,60.76,76.94,0.45,5.11
2018-11,63.66,54.55,74.31,1.61,4.11
2018-12,57.5,49.52,66.74,2.0,4.53
2019-01,56.6,48.8,65.31,5.32,4.82
2019-02,52.94,46.19,60.14,5.44,6.77
2019-03,59.39,52.13,67.52,2.06,6.38
2019-04,62.55,56.47,70.83,0.06,6.86
2019-05,61.57,56.46,68.01,0.78,7.11
2019-06,66.64,61.78,74.16,0.02,5.01
2019-07,71.91,65.36,81.13,0.03,2.99
2019-08,72.87,65.75,82.89,0.0,2.71
2019-09,74.08,67.21,83.25,0.02,2.63
2019-10,69.95,60.08,82.01,0.0,2.19
2019-11,63.13,54.55,73.88,1.63,2.06
2019-12,58.17,50.6,66.44,4.15,2.25
2020-01,59.12,50.98,69.29,0.26,1.83
2020-02,61.02,52.22,71.16,0.02,2.33
2020-03,59.64,53.39,66.96,4.29,3.4
2020-04,64.48,57.94,72.49,2.93,3.12
2020-05,68.51,61.29,77.34,0.2,3.2
2020-06,69.37,63.24,77.54,0.0,3.25
2020-07,70.02,62.91,79.43,0.0,2.88
2020-08,74.1,67.07,84.23,0.0,2.61
2020-09,73.44,65.31,84.99,0.0,2.05
2020-10,70.76,62.87,81.47,0.0,1.76
2020-11,60.77,51.97,72.16,0.08,1.94
2020-12,57.75,48.25,70.08,1.32,1.79
2021-01,57.3,48.41,68.51,1.88,1.96
2021-02,58.83,50.56,68.94,0.02,2.51
2021-03,57.91,50.02,67.25,1.17,3.23
2021-04,62.55,55.31,71.51,0.0,2.93
2021-05,64.1,59.05,71.32,0.0,2.85
2021-06,64.94,60.26,73.22,0.0,3.36
