date,temp,tmin,tmax,rhum,prcp,snwd,wspd,pres,cldc
2014-01-01,13.8,7.5,20.2,64,0.1,0,3.7,1018.7,0
2014-01-02,16.6,9.8,26.4,42,0.0,0,4.1,1017.2,0
2014-01-03,14.4,8.7,20.0,68,0.0,0,3.9,1014.9,0
2014-01-04,14.3,9.7,20.4,71,0.0,0,4.0,1014.8,0
2014-01-05,15.3,8.2,25.0,44,0.1,0,3.5,1018.8,0
2014-01-06,16.9,9.6,25.5,19,0.0,0,3.5,1020.6,0
2014-01-07,15.2,9.6,20.6,36,0.0,0,3.1,1018.6,0
2014-01-08,13.8,9.4,19.2,71,0.0,0,4.7,1017.8,0
2014-01-09,13.5,9.8,17.6,77,0.0,0,5.5,1017.1,
2014-01-10,14.2,8.8,20.2,68,0.1,0,3.9,1018.0,0
2014-01-11,14.7,8.6,21.5,69,0.0,0,4.5,1019.0,0
2014-01-12,15.5,10.8,21.1,64,0.1,0,6.7,1018.4,0
2014-01-13,17.3,8.3,27.8,29,0.0,0,3.1,1023.8,0
2014-01-14,19.4,10.4,27.6,19,0.0,0,7.1,1023.9,0
2014-01-15,19.9,11.1,28.9,20,0.0,0,3.7,1021.3,0
2014-01-16,19.7,11.5,29.9,20,0.0,0,3.4,1018.4,0
2014-01-17,20.0,11.3,30.0,20,0.0,0,5.3,1018.0,0
2014-01-18,18.3,10.2,28.7,28,0.0,0,4.0,1017.1,0
2014-01-19,16.3,9.1,25.6,39,0.0,0,3.2,1018.0,0
2014-01-20,16.2,8.9,26.4,43,0.0,0,4.0,1019.5,0
2014-01-21,17.4,11.0,24.9,40,0.0,0,3.6,1019.3,0
2014-01-22,17.4,12.5,23.9,57,0.0,0,5.6,1014.4,0
2014-01-23,15.1,10.0,21.9,65,0.0,0,4.7,1014.3,0
2014-01-24,17.0,12.9,22.8,51,0.0,0,4.4,1021.2,1
2014-01-25,18.3,14.4,24.5,54,0.0,0,5.1,1020.9,
2014-01-26,15.6,11.7,19.8,64,0.0,0,5.6,1018.6,
2014-01-27,15.6,11.6,19.7,70,0.0,0,6.0,1017.4,0
2014-01-28,14.8,9.9,20.0,72,0.0,0,4.9,1018.3,0
